"id","repo_id","committer","message","comment_count","verification"
"130","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2537: Clarify error message","0","1"
"131","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2607: Ignore Java code when adjusting block depth","0","1"
"132","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","web-flow","Merge pull request #2604 from codicuz/master

Not worked migration when plsql contains CASE statement","0","1"
"133","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","codicuz","not worked migration when plsql with case statement","0","0"
"134","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2602: Redact the licence key when using -X","0","0"
"135","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2582: Combining -json and -logFile yields no logFile

Rename -logFile to -outputFile","0","0"
"136","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","MikielAgutu","Fix #2591: plsql delimiters must be on their own line","0","0"
"137","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2519 for Azure - MySql 8","0","0"
"138","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2597 Parenthesis depth count in OracleParser affects interpretation of LOOP","0","0"
"139","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fix #2596 Stored proc issues in Snowflake","0","0"
"140","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2595: Log file only contains one line of output","0","1"
"141","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2571 MySQL/MariaDb DELIMITER # not supported","0","0"
"142","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","juliahayward","Fixed #2592 Cockroach cannot support mixing DDL/DML in transactions","0","0"
"143","MDEwOlJlcG9zaXRvcnk3MTcwMDU4","alextercete","Fix #2560: Allow trailing whitespace after PL/SQL delimiter","0","1"
